location_id,address_1,address_2,city,state,zip,county,country,location_source_value,latitude,longitude
71,226 Hackett Burg Suite 25,,Milton,,,Norfolk County,FI,0167d4d8-d639-427d-b7e0-6543676f0344,42.2757764297169,-71.0810858120709
72,764 Mann Passage,,North Andover,,,Essex County,FI,016a47dc-f803-4246-829c-a73ccfd95507,42.6301795383656,-71.123220655547
73,746 Collins Fort Unit 67,,Somerset,,2726,Bristol County,FI,01719cd3-b3e4-4e98-ae5c-328ab7c92115,41.7901219132161,-71.1128265225852
74,252 Kling Divide Unit 94,,Haverhill,,1832,Essex County,FI,0171afdd-c4b8-4e8d-830c-26f33fef308f,42.7973008412408,-71.0373858842338
75,415 Rau Track Unit 89,,Lynn,,1901,Essex County,FI,0175fbd7-4013-4a0e-b5b7-364e30aa6d16,42.5791813984139,-70.9961302898862
76,598 Borer Passage,,Boston,,2163,Suffolk County,FI,017c5278-ae74-4d25-903b-f555eb4bf729,42.3311991753653,-71.0696306791963
77,243 Ebert Wynd,,Boston,,2125,Suffolk County,FI,017e94fe-edb5-4ba2-bd73-93618a6ff2ea,42.3036350423327,-71.0321433710307
78,335 Wolff Green,,Yarmouth,,,Barnstable County,FI,0182e18a-9c9b-463e-a31c-ef270f35fb19,41.6519651959914,-70.1773147051051
79,423 Kozey Spur,,Braintree,,2184,Norfolk County,FI,0183a626-1e86-4de1-9a30-4137a3c7f5b3,42.2119336827893,-71.037375917495
80,644 Schamberger Plaza Apt 68,,Harwich,,,Barnstable County,FI,0197da35-d418-45a3-bb2a-de3de6e5ca83,41.7263829085994,-70.0842997317431
81,222 Nienow Frontage road Suite 39,,Fall River,,,Bristol County,FI,0198cf2f-fd4a-4739-bed6-716259bf1479,41.697180697651,-71.0964513079829
82,552 Funk Terrace,,Falmouth,,,Barnstable County,FI,019963d7-cc7a-4439-9934-eb389b524439,41.6239914267922,-70.6234230294055
83,856 McDermott Green Unit 95,,Hull,,,Plymouth County,FI,019cb1b9-b59d-4378-b8e5-cd82e126ae7a,42.3539217399271,-70.9111298131767
84,484 Thompson Annex,,Lexington,,2421,Middlesex County,FI,01a30747-b788-40f7-902c-be8001e7f14b,42.4728986312709,-71.2831975146551
85,205 Beatty Mall Apt 40,,Walpole,,2081,Norfolk County,FI,01a33b9e-1570-4806-92f8-ede013972147,42.103513015244,-71.2644419385084
86,496 Purdy Avenue,,North Attleborough,,,Bristol County,FI,01a42292-03b1-473f-8781-5549de2be93c,41.9380354373118,-71.3167120431498
87,783 Turcotte Burg Apt 51,,Arlington,,2476,Middlesex County,FI,01ab0df3-9ff4-481c-82f4-b7cc3806496c,42.4224317118927,-71.1363970800523
88,155 Prohaska Gateway,,Lynnfield,,,Essex County,FI,01aee8d2-fa8f-41e2-93e7-fdf735623ac9,42.5631356443505,-71.0470014736594
89,1031 Nicolas Rest,,Lynn,,1940,Essex County,FI,01b77d4c-4924-402c-b258-ca3f8aff6c36,42.4356627860283,-70.9802341866042
90,853 Heller Village Apt 29,,Waltham,,2453,Middlesex County,FI,01bf1657-8dd2-4685-be6e-fc8dbc49d794,42.3390684846251,-71.2017024914762
91,852 Pacocha Street Suite 13,,Boston,,2116,Suffolk County,FI,01c03bc9-f751-4499-bb33-8c22f13653fe,42.2720311635264,-71.1589881810952
92,107 Carter Approach Unit 13,,Holbrook,,2343,Norfolk County,FI,01c09c64-f86f-4fda-ba4f-3fd8c27304d1,42.1545271622556,-70.9652855633088
93,613 Medhurst Parade Apt 40,,Fairhaven,,,Bristol County,FI,01c24303-b1ec-45e6-aac5-f9bcb19feb5e,41.6136515187418,-70.8710800121234
94,139 Roberts Crossing Unit 98,,Carver,,,Plymouth County,FI,01c48a1a-6db4-4f6e-844b-17e658942c69,41.8506230731396,-70.754604652014
95,898 Langosh Hollow Suite 3,,Boston,,2108,Suffolk County,FI,01c666e1-0db3-4707-ad4f-7cf970965413,42.3681288714342,-71.0921519574216
96,652 Gislason View Suite 10,,Wayland,,,Middlesex County,FI,01ccbbbe-7ba4-4e0d-85c2-8541ea31b3c6,42.3564409245398,-71.3786099021651
97,886 Shanahan Overpass,,Needham,,,Norfolk County,FI,01d880d8-f755-4a19-b10c-16c04568bdb3,42.298826380812,-71.225173137975
98,530 Parker Frontage road,,Manchester-by-the-Sea,,,Essex County,FI,01f4fcd4-dc22-4873-af68-eba5eebe7aee,42.5176347614509,-70.7506812132807
99,985 Corwin Annex Apt 32,,New Bedford,,2743,Bristol County,FI,01fcfadd-2bab-403a-81a9-f8fdd14e3c57,41.6420318889609,-70.9795150261021
100,581 Kihn Alley,,Fall River,,2724,Bristol County,FI,02011243-d60a-4680-9dc9-449851f057ee,41.6615725261006,-71.1427971975549
101,1017 Mraz Flat,,Boston,,2136,Suffolk County,FI,0201afe6-20eb-41f4-800d-dba4d1de0122,42.3231103859844,-71.054621931412
102,305 Predovic Bay Apt 85,,Salem,,1907,Essex County,FI,0207547d-bb06-4d90-8157-122cb39f8ae8,42.4928031069557,-70.9083587565339
103,330 Spencer Knoll Suite 67,,Lawrence,,1843,Essex County,FI,02082497-bb41-4875-88aa-40c13df61231,42.7353668343817,-71.2002499353316
104,725 Rolfson Village,,Salem,,1907,Essex County,FI,021062d0-8ce6-4506-b736-98571470aabb,42.4536230764167,-70.9330035501007
105,477 Larson Ferry Suite 92,,West Boylston,,,Worcester County,FI,0210c0f8-8d4e-41bc-a179-5c5c9547cb2d,42.386427787954,-71.7862128702858
106,945 Mills Extension Apt 37,,Worcester,,1605,Worcester County,FI,02115d04-1924-4c2b-9603-f76d8f7a9be3,42.2551277878029,-71.7625914154023
107,432 Walker Underpass Apt 74,,Arlington,,2476,Middlesex County,FI,0216bfa4-35cc-429a-b9c3-ad899fc3137d,42.4629540205784,-71.2224836374757
108,379 Shanahan Glen,,Fitchburg,,1420,Worcester County,FI,02197c87-d3b1-4af6-8efa-056837c2ba97,42.6193708866091,-71.8502373742943
109,305 Walter Byway Apt 46,,Weymouth,,2188,Norfolk County,FI,021bd81d-fde1-4608-8d29-62eb98f6d21c,42.2851443778979,-70.9804892213049
110,869 Morissette Vista,,Lynn,,1907,Essex County,FI,0229ba64-ae2b-4c87-a012-ede3d789686f,42.5296027106127,-70.9363627315401
111,259 Lesch Throughway,,Stoneham,,2180,Middlesex County,FI,022c02c9-6bc8-45b5-bb4a-2f20bfa55b11,42.4767138067648,-71.0950179409029
112,557 Graham Terrace,,Lynn,,,Essex County,FI,022ce9c5-a43f-4f38-bb22-79e97433b5b5,42.5031447653395,-71.0465874851324
113,403 Hudson Fort,,Winchendon,,,Worcester County,FI,0234a3c7-e6eb-4e9c-950a-7fabbed5ed2f,42.7113925388354,-72.0368143799652
114,690 Rohan Course Apt 17,,Hanover,,,Plymouth County,FI,023d2148-1cfb-40e4-a998-7975f2408cff,42.0990616861183,-70.8775100851761
115,449 Pollich Wall,,Pittsfield,,1201,Berkshire County,FI,0246424b-fc50-470a-b6f9-f5aa4668a9b2,42.4257789700303,-73.2747468637119
116,781 Bauch Course,,Easthampton,,,Hampshire County,FI,024c3c33-4dcb-46b7-8c0f-07c440735c57,42.2637228995366,-72.6795176094038
117,422 Kuhlman Center,,Gill,,,Franklin County,FI,024c900a-ca24-40d2-b4e4-000fe3b30a31,42.649906293114,-72.4794339297268
118,899 Harris Light Unit 26,,Billerica,,,Middlesex County,FI,02578c68-052f-40a4-b016-645a7a06256c,42.5630706925325,-71.220333880431
119,501 Deckow Burg Suite 87,,Brookline,,2446,Norfolk County,FI,025c06a7-90d6-44a3-b5b5-3a71d5e004b7,42.348441480382,-71.1737765482057
120,315 Heathcote Alley,,Walpole,,2081,Norfolk County,FI,025f79ca-0a85-4d9d-8907-888d4d6eee33,42.1868862786952,-71.281894039628
121,354 Pfannerstill Loaf Suite 9,,Somerville,,2155,Middlesex County,FI,0260bae9-75c5-48aa-8382-a942c58ba122,42.4263499533237,-71.080993539735
122,266 Frami Byway,,Berkley,,,Bristol County,FI,02681356-ea6c-47af-8ec4-efa2f44cf7f0,41.8419205658099,-71.1148657060065
123,430 Watsica Frontage road Unit 96,,Mansfield,,,Bristol County,FI,0274aa10-b215-4668-a6b0-3a3932827837,41.9729403944585,-71.2659596816283
124,357 Thiel Arcade,,Gloucester,,,Essex County,FI,027ed264-f250-48ad-a357-0af590c7507a,42.6078628192792,-70.6946964877882
125,706 Nikolaus Branch Unit 53,,Westwood,,,Norfolk County,FI,028b9112-f5bb-475f-a6d9-ebfface9dc24,42.2274023760701,-71.2103833932714
126,716 Hoppe Port,,Framingham,,,Middlesex County,FI,02917b44-f9f3-4d6d-a365-45a3bd27c6fe,42.3576553042819,-71.4140232246894
127,972 Towne Orchard,,Framingham,,1702,Middlesex County,FI,029582be-53b7-4ce5-ab77-c8d1b87f0c30,42.3316655587757,-71.4484257794819
128,725 Mueller Bridge,,Chicopee,,,Hampden County,FI,0298d4e6-f30c-4275-8319-e1f2dd692bae,42.1682283965786,-72.5185551402532
129,837 Fahey Vale,,Boston,,2132,Suffolk County,FI,029cdb7d-d30f-475f-9f21-f17eb3eca09a,42.3725633303889,-71.0301315973603
130,468 Marquardt Harbor Suite 67,,North Attleborough,,,Bristol County,FI,029f6cab-f3b1-4e4a-a1de-acb655a94b2d,41.949904120706,-71.2862174724956
131,477 Cartwright Common,,Lawrence,,,Essex County,FI,02a40b4d-34df-42b7-a443-f70aad21b415,42.6829438403211,-71.1760778712043
132,835 Hudson Landing,,New Bedford,,2743,Bristol County,FI,02ac59b6-eb54-4da3-be75-5a3d9e09e015,41.5627351020404,-70.9679437166172
133,542 Cummerata Park Suite 12,,Somerset,,,Bristol County,FI,02b0395c-cfb6-4c05-a4aa-26c0dfa14315,41.7211013914406,-71.2346636249441
134,400 Kuhlman Junction Unit 11,,Weston,,,Middlesex County,FI,02b10510-9bb2-48f6-b97d-f877854dbfa3,42.4093640027082,-71.2884472648008
135,417 Harris Gateway Apt 81,,Danvers,,1923,Essex County,FI,02bb2a5e-52fb-4c42-a24c-03a253fb0ef0,42.5967741627276,-70.9597656226635
136,451 Strosin Parade Apt 33,,Lynn,,1904,Essex County,FI,02c8bfd7-62b0-478e-91dd-9a3178971c95,42.4398642150103,-70.9378776995828
137,787 Von Approach Apt 28,,Richmond,,,Berkshire County,FI,02da2e58-c201-4c08-8f13-b4ec748a4d8a,42.3775642118619,-73.3667967296149
138,175 Schuster Meadow Suite 58,,Boston,,2118,Suffolk County,FI,02dd6765-b1b8-4f44-8c01-c306eb0cc614,42.3873236013267,-71.0457454471305
139,343 Dickens Gateway,,Waltham,,2451,Middlesex County,FI,02e1b82d-f4a3-4fed-8acf-a97723df53a7,42.3743691361972,-71.2699475618806
140,629 Zieme Frontage road Apt 89,,Lawrence,,1843,Essex County,FI,02e63fdc-4502-475f-97da-74e0e7c1f634,42.6886781864226,-71.2072001891462
141,179 Barrows Lock,,Easton,,,Bristol County,FI,02e97551-6586-499b-b54d-a3f7898fc5b3,42.0691316366164,-71.1455120519632
142,377 Pollich Run,,Fairhaven,,,Bristol County,FI,02f28127-af4c-45b0-8671-9fb1fe17f7af,41.6122963520559,-70.8514425706277
143,776 Friesen Alley,,Southwick,,,Hampden County,FI,02fa6b4d-ca32-4677-ae95-b006932d045d,42.0166776583185,-72.8059320120434
144,236 Harvey Pathway Unit 74,,Boston,,2136,Suffolk County,FI,02fe2123-2a87-4171-9c7d-c51e6381b631,42.2829677486571,-71.0531869800205
145,582 Thiel Mall,,Acton,,,Middlesex County,FI,03088352-01c7-4bb5-aa1b-7644f08ecd1f,42.4572445176394,-71.460245428517
146,588 Walsh Underpass Suite 12,,Andover,,1810,Essex County,FI,030904c4-42e2-468e-b5e2-e277a0b22244,42.6561363764007,-71.1409278194416
147,528 Ward Highlands,,Everett,,2149,Middlesex County,FI,030d6174-9c33-42ec-9294-094068167b3f,42.3759964673536,-71.0985767424055
148,557 Jenkins Drive,,Yarmouth,,,Barnstable County,FI,030d8921-9651-4871-a973-f2f0010cc2f9,41.7244906419186,-70.1790246622653
149,908 Hahn Haven Suite 84,,Boston,,2163,Suffolk County,FI,0317b9dd-fd54-4146-8be2-bf1449fda641,42.324239175747,-71.0465961075798
150,1023 Ondricka Junction,,Malden,,2148,Middlesex County,FI,031d042e-aa82-4163-8a0f-86d8e7f3a518,42.3833067800505,-71.0685493484307
151,118 Franecki Union Unit 92,,Lawrence,,,Essex County,FI,03240165-722b-4218-8a02-0ef9f703a157,42.7389656644486,-71.1116219305905
152,684 Hudson Rue,,Boston,,2115,Suffolk County,FI,0332eee9-9cd4-48ee-8837-d1539590bd9e,42.404937123447,-71.0670160693841
153,293 Mohr Bypass Suite 77,,Monson,,,Hampden County,FI,0333788a-0fae-4ff5-872a-42157c633b3a,42.0784154562384,-72.3033576748828
154,698 Ziemann Common Apt 36,,Lowell,,,Middlesex County,FI,033a20cc-96e7-4f7e-802e-ded9ce2811ce,42.6421875200989,-71.386600869077
155,981 Runolfsdottir Annex,,Littleton,,,Middlesex County,FI,03475adf-ed9d-4807-9370-9109aa0a7283,42.5561188711269,-71.5229500793614
156,906 Hyatt Center Suite 86,,Leverett,,,Franklin County,FI,034a858f-071a-4822-9b1f-e4eb84aab322,42.4450282582489,-72.4737473488911
157,702 Ritchie Esplanade,,Woburn,,,Middlesex County,FI,03539d99-fbf1-4604-bde7-3d5fa8e575fb,42.5088112558899,-71.1188875685349
158,781 Corwin Row,,Stoughton,,,Norfolk County,FI,0356bc84-f6f2-4397-9002-d04fa3a858a7,42.1316755160693,-71.1164602590625
159,908 Bashirian Flat Apt 92,,Boston,,2108,Suffolk County,FI,035dc104-e9bf-43b5-a0f5-e38662aa3d10,42.2535176256663,-71.0226947786836
160,137 Sauer Crossroad,,Pittsfield,,,Berkshire County,FI,035e41f0-a1ad-456d-9cda-a237e6df557d,42.4335948932415,-73.276994912453
161,1034 Halvorson Terrace,,Brockton,,2351,Plymouth County,FI,03684d85-7f35-4e00-a61b-22c3d467cf8f,42.059974042538,-71.0332522566824
162,231 Ondricka Union Unit 74,,Everett,,2149,Middlesex County,FI,036b7252-df32-43b8-a51f-8ce328ca804d,42.4441437715986,-71.0563849127989
163,255 Schroeder Annex Apt 81,,Everett,,2148,Middlesex County,FI,036d461e-9351-488f-9404-a9b8d792f1ab,42.3906468677469,-71.0893273589274
164,449 Ritchie Extension,,Brockton,,,Plymouth County,FI,0376660e-1c30-4ed3-ad13-2d0a59a804ad,42.0746978405783,-71.0579809596485
165,1056 Conroy Bypass Unit 14,,Sudbury,,,Middlesex County,FI,0382f3a6-e2ae-49f1-8549-b959cdbe53ef,42.38975693806,-71.396002186227
166,543 Bernhard Mission,,Spencer,,1562,Worcester County,FI,03834db3-17ac-409e-9b10-b027b1d1772a,42.2906545828047,-72.0014519556947
167,284 Schaden Manor Apt 15,,Hubbardston,,,Worcester County,FI,0395b0d7-adac-4fa0-9fc3-030f3ba5a584,42.5248508187387,-72.0478695055737
168,827 Ritchie Street,,Newton,,2466,Middlesex County,FI,0398ca8c-904d-49c9-933a-5ab5b425381d,42.374791166324,-71.2236285052848
169,565 Crist Skyway Unit 87,,Worcester,,1602,Worcester County,FI,039cac5e-e211-40eb-a1b0-9bf7a311c520,42.2173896823895,-71.7762647035802
170,529 Weber Vale Apt 39,,Quincy,,,Norfolk County,FI,03a101d8-032a-4fd0-88c4-82853e34dcee,42.2647329062464,-71.0412359706157
171,152 Jacobs Junction,,Andover,,,Essex County,FI,03a2885a-aebd-482a-af9d-ce8086cf3395,42.6654832145486,-71.1462253260159
172,212 Hackett Trailer,,Ipswich,,,Essex County,FI,03a42694-e8ab-4aa2-ac6d-26b5e850e276,42.7100489145555,-70.7901581244993
173,1004 Hansen Arcade Unit 78,,Worcester,,1609,Worcester County,FI,03a4962e-bd32-4d2e-aba6-56b3c4e10a58,42.2247726777072,-71.8348258854951
174,715 Cummerata Approach,,Worcester,,1610,Worcester County,FI,03aca5e4-e3dd-4733-9ea3-e22c934e2377,42.2510277899905,-71.8026494050778
175,379 Windler Club Apt 76,,Williamsburg,,,Hampshire County,FI,03b17a47-dc95-4a03-a0aa-92efa28a8c2f,42.3659000152288,-72.7564360760007
176,267 Parker Meadow,,Boston,,2135,Suffolk County,FI,03b5e788-18c2-4198-b7ba-849309809f52,42.3713821326044,-71.0256769400735
177,503 Rowe Trailer,,Southwick,,,Hampden County,FI,03b748be-d43a-4b82-bc84-351db8cefeb7,42.0115371662719,-72.7565508987943
178,287 Walsh Arcade,,Weymouth,,2191,Norfolk County,FI,03bc7529-e0dc-404d-86f2-9796e293b05b,42.2166613647143,-70.9024789113432
179,853 Hills Overpass Apt 37,,Yarmouth,,,Barnstable County,FI,03c27eb9-617b-4ad2-85c8-d3825120cf3f,41.6819140523225,-70.2017805854046
180,527 Conn Well Unit 77,,Boston,,2128,Suffolk County,FI,03c3d54a-980e-4dfa-bc9b-2fbf324f4587,42.3909007957584,-70.9764147144709
